State_FIPS_Code,County_FIPS_Code,County,CHSI_State_Name,State,Poverty_%,Poverty,Population_Size,Min_Population_Size,Max_Population_Size,Age_65_84,Age_85_and_Over,White,Black,Native_American,Asian,Hispanic,Less_than_highschool_diploma,Highschool_diploma_only,college_associate_s_degree,Bachelor_degree_higher,adults_with_less_than_highschool,proper_adults_with_less_than_highschool,adults_highschool,proper_adults_highschool,adults_compl_associate_s_degree,proper_adults_compl_associate_s_degree,adults_bachelor_s_degree_higher,proper_adults_bachelor_s_degree_higher,total,Civilian_labor_force_2013,Employed_2013,Unemployed_2013,Unemployment_rate_2013,Civilian_labor_force_2014,Employed_2014,Unemployed_2014,Unemployment_rate_2014,Civilian_labor_force_2015,Employed_2015,Unemployed_2015,Unemployment_rate_2015,Median_Household_Income,Med_HH_Income_Percent_of_State_Total
1,1,Autauga,Alabama,AL,10.4,5055.648,48612,28447,55936,9.8,0.9,80.7,17.3,0.5,0.6,1.7,5012,12139,11132,7950,13.8,13.81381381,33.5,33.53353353,30.7,30.73073073,21.9,21.92192192,99.9,25731,24126,1605,6.2,25597,24097,1500,5.9,25308,23981,1327,5.2,54366,126.7
1,3,Baldwin,Alabama,AL,10.2,16583.772,162586,118395,277035,14.5,1.8,88.4,9.9,0.5,0.4,2.3,14615,38401,42104,38147,11,11,28.8,28.8,31.6,31.6,28.6,28.6,100,85018,79367,5651,6.6,86400,81084,5316,6.2,87316,82525,4791,5.5,49626,115.6
1,5,Barbour,Alabama,AL,22.1,6279.494,28414,27269,43226,11.6,1.6,52.2,46.8,0.4,0.3,3.1,4790,6300,5183,2563,25.4,25.42542543,33.4,33.43343343,27.5,27.52752753,13.6,13.61361361,99.9,9073,8142,931,10.3,8849,7913,936,10.6,8625,7854,771,8.9,34971,81.5
1,7,Bibb,Alabama,AL,16.8,3614.688,21516,8134,24778,10.9,1.2,76.8,22.5,0.3,0.1,1.4,3466,6283,4328,1606,22.1,22.1,40.1,40.1,27.6,27.6,10.2,10.2,100,8679,7990,689,7.9,8560,7942,618,7.2,8490,7929,561,6.6,39546,92.1
1,9,Blount,Alabama,AL,11.9,6631.275,55725,29009,53844,12.1,1.3,97.1,1.5,0.5,0.2,6.3,8567,13471,12225,4789,21.9,21.9,34.5,34.5,31.3,31.3,12.3,12.3,100,24810,23249,1561,6.3,24532,23023,1509,6.2,24352,23036,1316,5.4,45567,106.2
1,11,Bullock,Alabama,AL,26.2,2896.41,11055,6228,19495,10,2.2,27.8,71.4,0.4,0.2,5.9,2511,2353,1393,1026,34.5,34.5,32.3,32.3,19.1,19.1,14.1,14.1,100,4765,4317,448,9.4,4733,4314,419,8.9,4773,4402,371,7.8,26580,61.9
1,13,Butler,Alabama,AL,20,4153.2,20766,9226,23786,13.6,2.4,57.5,41.9,0.2,0.3,0.9,3288,5214,3528,2011,23.4,23.42342342,37.1,37.13713714,25.1,25.12512513,14.3,14.31431431,99.9,9120,8179,941,10.3,9272,8477,795,8.6,9142,8452,690,7.5,32512,75.8
1,15,Calhoun,Alabama,AL,16.4,18391.124,112141,111380,231954,12.7,1.5,78.3,19.7,0.4,0.8,2,15674,25495,24199,13299,19.9,19.9,32.4,32.4,30.8,30.8,16.9,16.9,100,48245,44017,4228,8.8,47240,43467,3773,8,46051,42837,3214,7,41123,95.8
1,17,Chambers,Alabama,AL,16.2,5744.52,35460,27028,48148,13.5,2.2,60.8,38.6,0.1,0.2,1.2,5367,8885,6658,2911,22.5,22.5,37.3,37.3,28,28,12.2,12.2,100,15229,14012,1217,8,15305,14276,1029,6.7,15100,14192,908,6,34116,79.5
1,19,Cherokee,Alabama,AL,15.2,3727.344,24522,9340,25391,15.2,1.4,93.3,5.5,0.3,0.3,1.1,3856,6747,5620,2583,20.5,20.5,35.9,35.9,29.9,29.9,13.7,13.7,100,11368,10615,753,6.6,11388,10725,663,5.8,11197,10588,609,5.4,38013,88.6
1,21,Chilton,Alabama,AL,14.9,6219.856,41744,29918,51327,11.3,1.2,88.3,10.5,0.3,0.4,3.7,6605,11753,7057,3978,22.5,22.5,40,40,24,24,13.5,13.5,100,19300,18031,1269,6.6,19099,17899,1200,6.3,19021,17943,1078,5.7,41450,96.6
